equipment_id,failure_mode,failure_date,repair_duration_hours,priority,maintenance_type
E1001,Overheating,2023-10-02,1.22,P1,Corrective
E1017,Bearing Wear,2023-05-17,3.38,P3,Inspection
E1009,Bearing Wear,2023-09-07,2.13,P1,Corrective
E1021,Leakage,2023-11-20,4.88,P2,Inspection
E1020,Seal Failure,2024-05-10,3.78,P2,Corrective
E1032,Leakage,2024-06-15,1.42,P1,Inspection
E1014,Leakage,2023-01-13,8.31,P1,Inspection
E1004,Seal Failure,2024-04-26,7.35,P2,Inspection
E1038,Electrical Fault,2024-04-07,1.76,P2,Inspection
E1008,Leakage,2023-08-24,6.68,P1,Inspection
E1039,Leakage,2023-03-29,3.93,P1,Corrective
E1015,Seal Failure,2025-02-10,2.55,P2,Inspection
E1018,Bearing Wear,2024-08-02,1.73,P1,Inspection
E1031,Seal Failure,2024-05-19,7.27,P3,Corrective
E1047,Seal Failure,2023-12-20,8.02,P3,Inspection
E1040,Overheating,2023-08-07,9.09,P2,Corrective
E1031,Leakage,2023-01-14,7.32,P2,Corrective
E1001,Leakage,2024-04-23,9.3,P3,Corrective
E1026,Seal Failure,2024-08-20,8.94,P3,Corrective
E1046,Overheating,2023-08-21,2.18,P1,Inspection
E1014,Seal Failure,2023-12-15,1.28,P1,Inspection
E1042,Bearing Wear,2024-05-31,7.06,P2,Inspection
E1024,Overheating,2023-04-26,3.72,P1,Corrective
E1042,Overheating,2024-01-14,3.95,P1,Corrective
E1012,Overheating,2023-01-21,1.88,P2,Corrective
E1009,Leakage,2023-10-23,5.66,P1,Inspection
E1018,Electrical Fault,2024-01-17,9.43,P3,Corrective
E1006,Electrical Fault,2023-05-05,5.59,P2,Inspection
E1041,Electrical Fault,2023-03-04,1.93,P1,Corrective
E1045,Electrical Fault,2023-08-03,2.27,P1,Corrective
E1002,Leakage,2024-07-05,6.52,P3,Corrective
E1041,Electrical Fault,2023-01-08,1.13,P3,Inspection
E1036,Seal Failure,2023-12-14,4.56,P3,Inspection
E1020,Bearing Wear,2024-07-21,1.02,P3,Inspection
E1016,Leakage,2023-04-12,8.67,P2,Corrective
E1032,Overheating,2023-07-18,2.31,P2,Corrective
E1035,Bearing Wear,2023-05-19,2.09,P2,Inspection
E1049,Leakage,2023-05-29,7.89,P3,Inspection
E1002,Overheating,2024-05-19,1.52,P3,Corrective
E1038,Leakage,2023-09-07,3.91,P3,Inspection
E1015,Seal Failure,2025-01-15,9.9,P2,Corrective
E1033,Bearing Wear,2023-09-18,5.15,P1,Corrective
E1036,Leakage,2023-11-23,9.26,P1,Corrective
E1033,Bearing Wear,2023-01-20,6.22,P3,Corrective
E1004,Seal Failure,2024-01-01,6.25,P1,Corrective
E1043,Seal Failure,2023-09-28,5.9,P1,Inspection
E1029,Seal Failure,2024-01-10,4.21,P1,Inspection
E1036,Overheating,2024-02-24,8.37,P1,Inspection
E1026,Leakage,2024-06-18,5.47,P2,Corrective
E1034,Leakage,2023-04-19,1.03,P1,Inspection
E1034,Seal Failure,2023-02-17,1.02,P1,Inspection
E1026,Bearing Wear,2023-03-10,1.69,P3,Inspection
E1014,Leakage,2023-11-20,8.79,P1,Inspection
E1004,Leakage,2023-04-13,8.58,P3,Inspection
E1007,Bearing Wear,2023-08-09,3.93,P1,Inspection
E1041,Overheating,2023-12-13,4.27,P2,Inspection
E1027,Leakage,2024-08-20,7.17,P1,Inspection
E1026,Bearing Wear,2024-04-06,6.86,P1,Inspection
E1034,Bearing Wear,2024-05-09,8.71,P2,Inspection
E1025,Bearing Wear,2023-03-24,3.67,P2,Inspection
E1027,Overheating,2023-06-27,9.05,P2,Corrective
E1043,Seal Failure,2023-03-16,6.55,P2,Corrective
E1035,Overheating,2024-05-03,9.97,P1,Inspection
E1008,Overheating,2024-03-11,5.16,P3,Corrective
E1012,Seal Failure,2023-08-14,6.24,P3,Corrective
E1021,Bearing Wear,2023-12-19,3.65,P1,Corrective
E1027,Electrical Fault,2023-09-07,9.18,P3,Corrective
E1034,Overheating,2023-08-22,8.56,P1,Inspection
E1004,Overheating,2023-02-04,3.21,P1,Inspection
E1026,Bearing Wear,2024-05-30,5.18,P3,Corrective
E1001,Bearing Wear,2023-11-13,2.63,P1,Corrective
