pm_id,equipment_id,task,last_maintenance_date,interval_days,next_due_date,status
PM0045,E1015,Seal Inspection,2024-06-25,30,2024-07-25,Overdue
PM0046,E1018,Electrical Inspection,2024-05-11,30,2024-06-10,Completed
PM0047,E1019,Pressure Check,2024-08-02,30,2024-09-01,Overdue
PM0048,E1037,Bearing Lubrication,2024-06-17,60,2024-08-16,Overdue
PM0049,E1013,Electrical Inspection,2024-07-10,180,2025-01-06,Overdue
PM0050,E1003,Seal Inspection,2024-10-02,180,2025-03-31,Completed
PM0051,E1034,Electrical Inspection,2024-01-14,90,2024-04-13,Overdue
PM0052,E1026,Seal Inspection,2024-01-18,60,2024-03-18,Overdue
PM0053,E1003,Seal Inspection,2024-09-30,30,2024-10-30,Scheduled
PM0054,E1019,Pressure Check,2024-10-21,90,2025-01-19,Completed
PM0055,E1028,Pressure Check,2024-01-26,90,2024-04-25,Overdue
PM0056,E1049,Seal Inspection,2024-05-15,60,2024-07-14,Completed
PM0057,E1050,Seal Inspection,2024-03-07,90,2024-06-05,Completed
PM0058,E1020,Electrical Inspection,2024-08-08,60,2024-10-07,Overdue
PM0059,E1002,Pressure Check,2024-02-19,180,2024-08-17,Completed
PM0060,E1029,Pressure Check,2024-02-07,60,2024-04-07,Completed
PM0061,E1009,Seal Inspection,2024-05-25,90,2024-08-23,Scheduled
PM0062,E1031,Electrical Inspection,2024-09-07,60,2024-11-06,Scheduled
PM0063,E1033,Pressure Check,2024-10-20,90,2025-01-18,Overdue
PM0064,E1010,Electrical Inspection,2024-09-13,90,2024-12-12,Completed
PM0065,E1015,Electrical Inspection,2024-07-16,60,2024-09-14,Overdue
PM0066,E1032,Electrical Inspection,2024-08-18,180,2025-02-14,Completed
PM0067,E1007,Electrical Inspection,2024-04-02,180,2024-09-29,Completed
PM0068,E1024,Pressure Check,2024-02-27,60,2024-04-27,Scheduled
PM0069,E1022,Seal Inspection,2024-07-15,60,2024-09-13,Completed
PM0070,E1041,Seal Inspection,2024-01-08,180,2024-07-06,Completed
PM0071,E1030,Electrical Inspection,2024-01-26,60,2024-03-26,Completed
PM0072,E1039,Seal Inspection,2024-02-23,180,2024-08-21,Overdue
PM0073,E1025,Pressure Check,2024-05-25,60,2024-07-24,Scheduled
PM0074,E1047,Bearing Lubrication,2024-10-20,30,2024-11-19,Completed
PM0075,E1044,Seal Inspection,2024-02-24,90,2024-05-24,Overdue
PM0076,E1024,Pressure Check,2024-10-06,30,2024-11-05,Scheduled
PM0077,E1040,Bearing Lubrication,2024-01-24,180,2024-07-22,Overdue
PM0078,E1005,Electrical Inspection,2024-03-30,60,2024-05-29,Completed
PM0079,E1020,Seal Inspection,2024-03-11,180,2024-09-07,Completed
PM0080,E1039,Bearing Lubrication,2024-02-03,90,2024-05-03,Scheduled
PM0081,E1029,Seal Inspection,2024-09-19,60,2024-11-18,Overdue
PM0082,E1036,Seal Inspection,2024-03-22,90,2024-06-20,Overdue
PM0083,E1029,Electrical Inspection,2024-07-05,90,2024-10-03,Scheduled
PM0084,E1040,Bearing Lubrication,2024-04-11,60,2024-06-10,Scheduled
PM0085,E1020,Electrical Inspection,2024-01-22,90,2024-04-21,Overdue
PM0086,E1006,Pressure Check,2024-09-09,90,2024-12-08,Completed
PM0087,E1022,Pressure Check,2024-05-23,90,2024-08-21,Completed
PM0088,E1013,Seal Inspection,2024-01-13,30,2024-02-12,Completed
PM0089,E1021,Seal Inspection,2024-03-07,180,2024-09-03,Overdue
PM0090,E1013,Seal Inspection,2024-05-29,180,2024-11-25,Scheduled
PM0091,E1014,Electrical Inspection,2024-06-03,180,2024-11-30,Completed
PM0092,E1048,Pressure Check,2024-01-30,60,2024-03-30,Scheduled
PM0093,E1044,Bearing Lubrication,2024-01-27,30,2024-02-26,Completed
PM0094,E1011,Seal Inspection,2024-10-16,180,2025-04-14,Completed
PM0095,E1043,Pressure Check,2024-09-10,180,2025-03-09,Completed
PM0096,E1043,Bearing Lubrication,2024-05-24,180,2024-11-20,Scheduled
PM0097,E1016,Seal Inspection,2024-08-01,90,2024-10-30,Completed
PM0098,E1008,Pressure Check,2024-07-01,90,2024-09-29,Scheduled
PM0099,E1044,Seal Inspection,2024-08-12,30,2024-09-11,Completed
PM0100,E1025,Electrical Inspection,2024-06-09,60,2024-08-08,Completed
PM0101,E1005,Seal Inspection,2024-03-22,90,2024-06-20,Completed
PM0102,E1007,Bearing Lubrication,2024-06-24,180,2024-12-21,Scheduled
PM0103,E1042,Bearing Lubrication,2024-04-22,60,2024-06-21,Overdue
PM0104,E1047,Seal Inspection,2024-06-03,60,2024-08-02,Completed
PM0105,E1001,Pressure Check,2024-10-04,90,2025-01-02,Completed
PM0106,E1004,Pressure Check,2024-08-11,30,2024-09-10,Overdue
PM0107,E1015,Electrical Inspection,2024-08-11,60,2024-10-10,Overdue
PM0108,E1044,Pressure Check,2024-06-18,60,2024-08-17,Scheduled
PM0109,E1017,Bearing Lubrication,2024-05-27,30,2024-06-26,Completed
PM0110,E1012,Bearing Lubrication,2024-01-24,30,2024-02-23,Scheduled
PM0111,E1045,Seal Inspection,2024-02-03,30,2024-03-04,Scheduled
PM0112,E1016,Bearing Lubrication,2024-10-02,30,2024-11-01,Overdue
PM0113,E1047,Electrical Inspection,2024-03-28,180,2024-09-24,Overdue
PM0114,E1039,Bearing Lubrication,2024-03-27,60,2024-05-26,Overdue
PM0115,E1025,Electrical Inspection,2024-06-24,60,2024-08-23,Scheduled
PM0116,E1025,Electrical Inspection,2024-06-01,30,2024-07-01,Scheduled
PM0117,E1033,Bearing Lubrication,2024-06-11,30,2024-07-11,Scheduled
PM0118,E1003,Bearing Lubrication,2024-06-12,60,2024-08-11,Completed
PM0119,E1036,Seal Inspection,2024-08-01,60,2024-09-30,Scheduled
PM0120,E1005,Bearing Lubrication,2024-07-15,30,2024-08-14,Completed
